date,data,url,,
2012-06-08,"Introduction of GST would add 1-2% to GDP: Baba Kalyani, CMD, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/introduction-of-gst-would-add-1-2-to-gdp-baba-kalyani-cmd-bharat-forge/articleshow/13932560.cms,,
2011-09-09,Bharat Forge: Government's infrastructure thrust can boost earnings from non-automotive segment,https://economictimes.indiatimes.com/markets/stocks/stocks-in-news/bharat-forge-governments-infrastructure-thrust-can-boost-earnings-from-non-automotive-segment/articleshow/9917249.cms,,
2011-04-29,"Bharat Forge, Sona Koyo may perform better: Edelweiss Financial",https://economictimes.indiatimes.com/markets/stocks/views/recommendations/bharat-forge-sona-koyo-may-perform-better-edelweiss-financial/articleshow/8117580.cms,,
2013-04-15,"We are slaves in manufacturing, we have to be our own masters: Baba Kalyani, Bharat Forge group",https://economictimes.indiatimes.com/opinion/interviews/we-are-slaves-in-manufacturing-we-have-to-be-our-own-masters-baba-kalyani-bharat-forge-group/articleshow/19551891.cms,,
2016-03-07,"Tata Motors ties up with Bharat Forge, General Dynamics for Rs 50,000 crore infantry combat vehicle project",https://economictimes.indiatimes.com/news/defence/tata-motors-ties-up-with-bharat-forge-general-dynamics-for-rs-50000-crore-infantry-combat-vehicle-project/articleshow/51290132.cms,,
2012-01-11,Kalyanis of Bharat Forge set up a research and diagnostics centre for prostrate cancer,https://economictimes.indiatimes.com/news/news-by-industry/healthcare/biotech/healthcare/kalyanis-of-bharat-forge-set-up-a-research-and-diagnostics-centre-for-prostrate-cancer/articleshow/11448500.cms,,
2017-06-29,"Amtek Auto rallies 5% as Bharat Forge, Sona Koyo join acquisition race",https://economictimes.indiatimes.com/markets/stocks/news/amtek-auto-rallies-5-as-bharat-forge-sona-koyo-join-acquisition-race/articleshow/59366812.cms,,
2017-08-11,Bharat Forge net profit surges 43.44% to Rs 175.08 crore in Q1,https://economictimes.indiatimes.com/markets/stocks/earnings/bharat-forge-net-profit-surges-4344-to-rs-17508-crore-in-q1/articleshow/60019310.cms,,
2015-09-15,Bharat Forge drops, BofA-ML sees 12% potential downside,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-drops-bofa-ml-sees-12-potential-downside/articleshow/48966848.cms,
2015-08-03,"Bharat Forge climbs on Q1 results, management commentary",https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-climbs-on-q1-results-management-commentary/articleshow/48325027.cms,,
2015-12-08,Slowing us truck sales to hit Bharat Forge,https://economictimes.indiatimes.com/markets/stocks/news/slowing-us-truck-sales-to-hit-bharat-forge/articleshow/50083700.cms,,
2016-02-17,Bharat Forge completes 1st titanium flap-track forgings for Boeing Next-Gen 737,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/bharat-forge-completes-1st-titanium-flap-track-forgings-for-boeing-next-gen-737/articleshow/51023024.cms,,
2016-03-02,LIC hikes stake in components maker Bharat Forge to 7%,https://economictimes.indiatimes.com/markets/stocks/news/lic-hikes-stake-in-components-maker-bharat-forge-to-7/articleshow/51225077.cms,,
2016-05-18,Hold Bharat Forge with a target at Rs 820: JM Financial,https://economictimes.indiatimes.com/markets/stocks/recos/hold-bharat-forge-with-a-target-at-rs-820-jm-financial/articleshow/52322553.cms,,
2015-05-20,Bharat Forge sees brisk selling post Q4 results, ends nearly 4% lower,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-sees-brisk-selling-post-q4-results-ends-nearly-4-lower/articleshow/47354814.cms,
2016-01-10,Bharat Forge to set up auto component hub in Nellore,https://economictimes.indiatimes.com/industry/auto/news/auto-components/bharat-forge-to-set-up-auto-component-hub-in-nellore/articleshow/50520666.cms,,
2012-05-18,Bharat Forge 3.0: Return of Baba Kalyani who changed the face of Indian engineering globally,https://economictimes.indiatimes.com/features/corporate-dossier/bharat-forge-30-return-of-baba-kalyani-who-changed-the-face-of-indian-engineering-globally/articleshow/13218627.cms,,
2014-05-28,Bharat Forge March quarter standalone Net up over 2-fold at Rs 119 crore,https://economictimes.indiatimes.com/industry/auto/news/auto-components/bharat-forge-march-quarter-standalone-net-up-over-2-fold-at-rs-119-crore/articleshow/35661434.cms,,
2015-02-18,Boeing signs contract with Bharat Forge,https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/boeing-signs-contract-with-bharat-forge/articleshow/46290049.cms,,
2016-08-05,Bharat Forge shares zoom despite poor Q1 results,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-shares-zoom-despite-poor-q1-results/articleshow/53555133.cms,,
2016-07-07,Bharat Forge slips as North American order inflow falls to 6-year low,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-slips-as-north-american-order-inflow-falls-to-6-year-low/articleshow/53092405.cms,,
2014-07-30,Bharat Forge Q1 net up 60% at Rs 145 crore,https://economictimes.indiatimes.com/industry/auto/news/auto-components/bharat-forge-q1-net-up-60-at-rs-145-crore/articleshow/39300614.cms,,
2014-05-10,"Movers & Shakers on D-Street: Bharat Forge, Birla Corporation, Tata Power, ABB, Financial Technologies, Union Bank of India",https://economictimes.indiatimes.com/markets/stocks/news/movers-shakers-on-d-street-bharat-forge-birla-corporation-tata-power-abb-financial-technologies-union-bank-of-india/articleshow/34896044.cms,,
2013-03-15,"Brokers’ Call: Bharat Forge, GAIL, Infosys",https://economictimes.indiatimes.com/markets/stocks/views/recommendations/brokers-call-bharat-forge-gail-infosys/articleshow/18980637.cms,,
2016-11-16,Buy  Bharat Forge Ltd.  with a target of Rs  913:  Choice Equity Broking Private Ltd,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-ltd-with-a-target-of-rs-913-choice-equity-broking-private-ltd/articleshow/55453710.cms,,
2012-03-30,Bharat Forge plans towed gun system for armed forces,https://economictimes.indiatimes.com/news/news-by-industry/indl-goods-/-svs/engineering/bharat-forge-plans-towed-gun-system-for-armed-forces/articleshow/12462565.cms,,
2011-05-24,Bharat Forge Q4 net profit jumps by 64% at Rs 100.39 crore on robust sales,https://economictimes.indiatimes.com/news/news-by-company/earnings/earnings-news/bharat-forge-q4-net-profit-jumps-by-64-at-rs-10039-crore-on-robust-sales/articleshow/8559013.cms,,
2017-02-13,Buy  Bharat Forge Ltd.  target Rs  1050:   IIFL Wealth India Infoline,https://economictimes.indiatimes.com/markets/stocks/recos/buy-bharat-forge-ltd-target-rs-1050-iifl-wealth-india-infoline/articleshow/57118971.cms,,
2014-09-16,Positive about Bharat Forge and Motherson Sumi: Ajay Bodke,https://economictimes.indiatimes.com/markets/stocks/recos/positive-about-bharat-forge-and-motherson-sumi-ajay-bodke/articleshow/42604264.cms,,
2012-08-09,Buy Bharat Forge with a target of 325: Mitesh Thacker,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/buy-bharat-forge-with-a-target-of-325-mitesh-thacker/articleshow/15415446.cms,,
2017-02-06,CLSA maintains ‘buy’ rating on Bharat Forge,https://economictimes.indiatimes.com/markets/stocks/news/clsa-maintains-buy-rating-on-bharat-forge/articleshow/56995625.cms,,
2015-05-21,"Suggest to avoid Bharat Forge, Motherson Sumi for now: Niraj Dalal",https://economictimes.indiatimes.com/markets/stocks/recos/suggest-to-avoid-bharat-forge-motherson-sumi-for-now-niraj-dalal/articleshow/47370305.cms,,
2016-03-29,DPP a highway for private sector, but industry needs short-term measures too: Bharat Forge,https://economictimes.indiatimes.com/news/defence/dpp-a-highway-for-private-sector-but-industry-needs-short-term-measures-too-bharat-forge/articleshow/51606481.cms,
2016-05-26,"Top executives from Tata, L&T, Bharat Forge to lead defence strategy panels",https://economictimes.indiatimes.com/news/defence/top-executives-from-tata-lt-bharat-forge-to-lead-defence-strategy-panels/articleshow/52442139.cms,,
2015-08-03,Air defence guns: Bharat Forge predicted outcome of DAC meeting to German company Rheinmetall,https://economictimes.indiatimes.com/news/defence/air-defence-guns-bharat-forge-predicted-outcome-of-dac-meeting-to-german-company-rheinmetall/articleshow/48322622.cms,,
2014-07-21,"TVS, Bharat Forge top picks; have delivered above market returns: Sandip Sabharwal",https://economictimes.indiatimes.com/markets/stocks/recos/tvs-bharat-forge-top-picks-have-delivered-above-market-returns-sandip-sabharwal/articleshow/38783886.cms,,
2013-03-20,"Brokers’ Call: Oil India, Jubilant, Titan and Bharat Forge",https://economictimes.indiatimes.com/markets/stocks/stocks-in-news/brokers-call-oil-india-jubilant-titan-and-bharat-forge/articleshow/19082562.cms,,
2015-05-21,"Foreign companies very keen on ‘Make in India’ in defence space: Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/news/india-unlimited/make-in-india/foreign-companies-very-keen-on-make-in-india-in-defence-space-baba-kalyani-bharat-forge/articleshow/47417159.cms,,
2015-10-15,CLSA downgrades Bharat Forge to 'Sell',https://economictimes.indiatimes.com/markets/stocks/news/clsa-downgrades-bharat-forge-to-sell/articleshow/49365278.cms,,
2014-01-13,Bharat Forge divests majority stake in Chinese joint venture,https://economictimes.indiatimes.com/industry/indl-goods/svs/steel/bharat-forge-divests-majority-stake-in-chinese-joint-venture/articleshow/28739562.cms,,
2016-03-30,"Will supply equipment and platform to Indian army in near future: Baba Kalyani, Bharat Forge",https://economictimes.indiatimes.com/opinion/interviews/will-supply-equipment-and-platform-to-indian-army-in-near-future-baba-kalyani-bharat-forge/articleshow/51614249.cms,,
2014-09-25,Optimistic about auto sector, bet on Motherson Sumi and Bharat Forge for long term: Mayuresh Joshi,https://economictimes.indiatimes.com/markets/stocks/recos/optimistic-about-auto-sector-bet-on-motherson-sumi-and-bharat-forge-for-long-term-mayuresh-joshi/articleshow/43400870.cms,
2012-03-13,"Chart Check from Angel Broking for Tuesday, March 13: Exide Industries, Bharat Forge",https://economictimes.indiatimes.com/markets/stocks/views/recommendations/chart-check-from-angel-broking-for-tuesday-march-13-exide-industries-bharat-forge/articleshow/12244679.cms,,
2015-02-19,Lock & load: Bharat Forge hits all-time high on Rafael arms JV,https://economictimes.indiatimes.com/markets/stocks/news/lock-load-bharat-forge-hits-all-time-high-on-rafael-arms-jv/articleshow/46296825.cms,,
2016-03-03,Bharat Forge climbs 3% as LIC hikes stake in company,https://economictimes.indiatimes.com/markets/stocks/news/bharat-forge-climbs-3-as-lic-hikes-stake-in-company/articleshow/51235295.cms,,
2011-10-12,Bharat Forge finds strong support around 245-250: Ashwani Gujral,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/bharat-forge-finds-strong-support-around-245-250-ashwani-gujral/articleshow/10327611.cms,,
