date,data,url,
2016-11-18,Demonetisation to lower GDP growth by 0.3-0.5%: CARE Ratings,https://economictimes.indiatimes.com/news/economy/indicators/demonetisation-to-lower-gdp-growth-by-03-05-care-ratings/articleshow/55498209.cms,
2017-02-06,"Higher other income led to sharp rise in PAT: Rajesh Mokashi, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/higher-other-income-led-to-sharp-rise-in-pat-rajesh-mokashi-care-ratings/articleshow/56995890.cms,
2014-11-03,"Growth recovery is going to be slow and gradual: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/growth-recovery-is-going-to-be-slow-and-gradual-madan-sabnavis-care-ratings/articleshow/45022039.cms,
2016-05-17,Securitisation market volume rises in FY 2016: Care Ratings,https://economictimes.indiatimes.com/industry/banking/finance/banking/securitisation-market-volume-rises-in-fy-2016-care-ratings/articleshow/52311104.cms,
2015-09-13,Battery-free 'smart' cameras can find their own position,https://economictimes.indiatimes.com/magazines/panache/battery-free-smart-cameras-can-find-their-own-position/articleshow/48944337.cms,
2016-10-19,The government is pushing hard for housing for all: Sarada Kumar Hota of Canfin Homes,https://economictimes.indiatimes.com/opinion/interviews/the-government-is-pushing-hard-for-housing-for-all-sarada-kumar-hota-of-canfin-homes/articleshow/54933442.cms,
2016-03-04,"Betting on Can Fin Homes and HPCL: Rahul Shah, MOFSL",https://economictimes.indiatimes.com/markets/expert-view/betting-on-can-fin-homes-and-hpcl-rahul-shah-mofsl/articleshow/51255702.cms,
2016-07-04,Laptop hacked? You can find your data here,https://economictimes.indiatimes.com/industry/telecom/laptop-hacked-you-can-find-your-data-here/articleshow/53045859.cms,
2012-04-17,I would look for a target of 138 in Can Fin Homes: Mitesh Thacker,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/i-would-look-for-a-target-of-138-in-can-fin-homes-mitesh-thacker/articleshow/12703482.cms,
2012-04-03,Ashok Leyland can find support around 27-27.50: Ashwani Gujral,https://economictimes.indiatimes.com/markets/stocks/views/recommendations/ashok-leyland-can-find-support-around-27-2750-ashwani-gujral/articleshow/12518349.cms,
2013-11-22,"Businesses are not adapting to climate change: Pascal Canfin, French Minister for development",https://economictimes.indiatimes.com/opinion/interviews/businesses-are-not-adapting-to-climate-change-pascal-canfin-french-minister-for-development/articleshow/26169284.cms,
2016-04-29,Can Fin Homes surges as net profit more than doubles,https://economictimes.indiatimes.com/markets/stocks/news/can-fin-homes-surges-as-net-profit-more-than-doubles/articleshow/52036154.cms,
2017-01-17,CanFin Homes Q3 net profit jumps 41% to Rs 60 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/canfin-homes-q3-net-profit-jumps-41-to-rs-60-crore/articleshow/56624017.cms,
2014-12-15,Recommend to buy Can Fin Homes Ltd: Neeraj Deewan,https://economictimes.indiatimes.com/markets/stocks/recos/recommend-to-buy-can-fin-homes-ltd-neeraj-deewan/articleshow/45522095.cms,
2016-03-31,Can Fin Homes is cheaper compared to other housing fin cos: Rahul Shah,https://economictimes.indiatimes.com/markets/stocks/recos/can-fin-homes-is-cheaper-compared-to-other-housing-fin-cos-rahul-shah/articleshow/51630335.cms,
2016-12-30,Buy  Can Fin Homes with a target of Rs  2260:  Motilal Oswal Securities,https://economictimes.indiatimes.com/markets/stocks/recos/buy-can-fin-homes-with-a-target-of-rs-2260-motilal-oswal-securities/articleshow/56252785.cms,
2017-05-15,"Can Fin Homes mulls raising Rs 6,000 crore",https://economictimes.indiatimes.com/markets/stocks/news/can-fin-homes-mulls-raising-rs-6000-crore/articleshow/58685948.cms,
2017-06-20,"Can Fin, SpiceJet have more steam left: Deepak Shenoy",https://economictimes.indiatimes.com/markets/expert-view/can-fin-spicejet-have-more-steam-left-deepak-shenoy/articleshow/59238354.cms,
2017-03-15,"There is room this year for a rate cut: Madan Sabnavis, Chief Economist, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/there-is-room-this-year-for-a-rate-cut-madan-sabnavis-chief-economist-care-ratings/articleshow/57650481.cms,
2017-05-12,"Even 2011-12 as base year is fairly outdated as we are in 2017-18: Madan Sabnavis, CARE Ratings",https://economictimes.indiatimes.com/markets/expert-view/even-2011-12-as-base-year-is-fairly-outdated-as-we-are-in-2017-18-madan-sabnavis-care-ratings/articleshow/58643542.cms,
2015-02-23,Can Fin Homes to outperform from a long-term perspective, buy with a target of Rs 920: Devang Mehta,https://economictimes.indiatimes.com/markets/stocks/recos/can-fin-homes-to-outperform-from-a-long-term-perspective-buy-with-a-target-of-rs-920-devang-mehta/articleshow/46342480.cms
2016-07-15,"Our loan book has grown by 28.4%: Sarada Kumar Hota, MD, Can Fin Homes",https://economictimes.indiatimes.com/markets/expert-view/our-loan-book-has-grown-by-284-sarada-kumar-hota-md-can-fin-homes/articleshow/53222117.cms,
2012-12-26,"EBITDA margin to remain stable at around 75%: Rajesh Mokashi, CARE Ratings",https://economictimes.indiatimes.com/opinion/interviews/ebitda-margin-to-remain-stable-at-around-75-rajesh-mokashi-care-ratings/articleshow/17767776.cms,
2015-02-12,Can Fin Homes' Rs 276 crore rights issue to open today,https://economictimes.indiatimes.com/markets/ipos/fpos/can-fin-homes-rs-276-crore-rights-issue-to-open-today/articleshow/46212371.cms,
2015-05-05,Prefer stocks of HFCs to real estate scrips, Can Fin Homes at Rs 620-650 could be a good buy: Mehraboon Irani,https://economictimes.indiatimes.com/markets/stocks/recos/prefer-stocks-of-hfcs-to-real-estate-scrips-can-fin-homes-at-rs-620-650-could-be-a-good-buy-mehraboon-irani/articleshow/47147784.cms
2016-08-11,India Inc sees recovery in earnings in Q1 FY’17: Care Ratings,https://economictimes.indiatimes.com/markets/stocks/earnings/india-inc-sees-recovery-in-earnings-in-q1-fy17-care-ratings/articleshow/53654323.cms,
2016-02-01,"Investment cycle unlikely to start in Q4: DR Dogra, Care Ratings",https://economictimes.indiatimes.com/opinion/interviews/investment-cycle-unlikely-to-start-in-q4-dr-dogra-care-ratings/articleshow/50805423.cms,
