date,Open,High,Low,Close,Adj Close,Volume,change,Change-close
2011-01-03,2929.449951,2963.75,2929.449951,2958.050049,2958.050049,0,,
2011-01-04,2969.25,2977.300049,2942.350098,2951.850098,2951.850098,0,11.199951,-6.199951
2011-01-05,2953.600098,2957.149902,2904.25,2912.800049,2912.800049,0,1.75,-39.050049
2011-01-06,2916.850098,2933.100098,2863.649902,2868.100098,2868.100098,0,4.050049,-44.699951
2011-01-07,2865.25,2867.850098,2772.800049,2783.649902,2783.649902,0,-2.850098,-84.450196
2011-01-10,2785.800049,2791.300049,2703.800049,2708.850098,2708.850098,0,2.150147,-74.799804
2011-01-11,2711.199951,2744.949951,2671.100098,2690.899902,2690.899902,0,2.349853,-17.950196
2011-01-12,2710.199951,2750.100098,2676.149902,2747.100098,2747.100098,0,19.300049,56.200196
2011-01-13,2747.300049,2777.949951,2723.949951,2736.699951,2736.699951,0,0.199951,-10.400147
2011-01-14,2736.649902,2752.850098,2680.850098,2688.199951,2688.199951,0,-0.050049,-48.5
2011-01-17,2697.850098,2699.199951,2660.25,2663.600098,2663.600098,0,9.650147,-24.599853
2011-01-18,2671.449951,2693.350098,2662.649902,2683.899902,2683.899902,0,7.849853,20.299804
2011-01-19,2689.149902,2706.850098,2672.449951,2684.5,2684.5,0,5.25,0.600098
2011-01-20,2676.399902,2701.100098,2659.399902,2696.399902,2696.399902,0,-8.100098,11.899902
2011-01-21,2695.100098,2711.75,2686.649902,2691.649902,2691.649902,0,-1.299804,-4.75
2011-01-24,2697.5,2727.550049,2695.800049,2725.600098,2725.600098,0,5.850098,33.950196
2011-01-25,2732.550049,2742.949951,2708.5,2713.550049,2713.550049,0,6.949951,-12.050049
2011-01-27,2713.550049,2728.699951,2619.149902,2625.949951,2625.949951,0,0,-87.600098
2011-01-28,2625.699951,2625.699951,2509.149902,2548.449951,2548.449951,0,-0.25,-77.5
2011-01-31,2528.699951,2558.100098,2487.300049,2553.649902,2553.649902,0,-19.75,5.199951
2011-02-01,2560.5,2577.25,2495.600098,2504.100098,2504.100098,0,6.850098,-49.549804
2011-02-02,2520.600098,2536.199951,2503.050049,2509.399902,2509.399902,0,16.5,5.299804
2011-02-03,2506.850098,2535.5,2496.350098,2532.550049,2532.550049,0,-2.549804,23.150147
2011-02-04,2532.149902,2563.800049,2483.699951,2493.850098,2493.850098,0,-0.400147,-38.699951
2011-02-07,2494.550049,2509.399902,2464.699951,2470.699951,2470.699951,0,0.699951,-23.150147
2011-02-08,2467.949951,2477.649902,2375.949951,2382.949951,2382.949951,0,-2.75,-87.75
2011-02-09,2373.149902,2373.149902,2266.949951,2282.300049,2282.300049,0,-9.800049,-100.649902
2011-02-10,2271.350098,2323.449951,2257,2307.649902,2307.649902,0,-10.949951,25.349853
2011-02-11,2311.550049,2374.300049,2287.300049,2369.5,2369.5,0,3.900147,61.850098
2011-02-14,2387.199951,2453.899902,2387.199951,2449.5,2449.5,0,17.699951,80
2011-02-15,2462.449951,2477.75,2418.300049,2459.050049,2459.050049,0,12.949951,9.550049
2011-02-16,2456.800049,2462.399902,2442.899902,2453.199951,2453.199951,0,-2.25,-5.850098
2011-02-17,2457.050049,2485.550049,2450.800049,2482.699951,2482.699951,0,3.850098,29.5
2011-02-18,2483.050049,2516.300049,2415.75,2421.399902,2421.399902,0,0.350098,-61.300049
2011-02-21,2417.149902,2468.449951,2394,2461.350098,2461.350098,0,-4.25,39.950196
2011-02-22,2453.899902,2459.149902,2420.800049,2434.449951,2434.449951,0,-7.450196,-26.900147
2011-02-23,2427.25,2440.149902,2404.300049,2408.199951,2408.199951,0,-7.199951,-26.25
2011-02-24,2403.75,2403.75,2302.5,2309.149902,2309.149902,0,-4.449951,-99.050049
2011-02-25,2315.550049,2325.449951,2268.699951,2300.300049,2300.300049,0,6.400147,-8.849853
2011-02-28,2301.350098,2361.550049,2301.350098,2311.399902,2311.399902,0,1.050049,11.099853
2011-03-01,2328.5,2404.050049,2328.399902,2401.350098,2401.350098,0,17.100098,89.950196
2011-03-03,2401.350098,2417.5,2379.399902,2405.149902,2405.149902,0,0,3.799804
2011-03-04,2417.149902,2431.449951,2403.5,2408.25,2408.25,0,12,3.100098
2011-03-07,2392.600098,2393.850098,2346.350098,2367.800049,2367.800049,0,-15.649902,-40.449951
2011-03-08,2369.449951,2404.399902,2369.449951,2401.699951,2401.699951,0,1.649902,33.899902
2011-03-09,2404.399902,2427.199951,2402.600098,2424.550049,2424.550049,0,2.699951,22.850098
2011-03-10,2421.699951,2421.699951,2405.600098,2415.300049,2415.300049,0,-2.850098,-9.25
2011-03-11,2399,2423.149902,2369.850098,2379.550049,2379.550049,0,-16.300049,-35.75
2011-03-14,2354.600098,2404.449951,2354.600098,2402.949951,2402.949951,0,-24.949951,23.399902
2011-03-15,2356.399902,2372.699951,2332.100098,2355.399902,2355.399902,0,-46.550049,-47.550049
2011-03-16,2368.100098,2393.550049,2368.100098,2382.050049,2382.050049,0,12.700196,26.650147
2011-03-17,2389.850098,2394.449951,2365.850098,2380.100098,2380.100098,0,7.800049,-1.949951
2011-03-18,2382.350098,2396.25,2357,2363.149902,2363.149902,0,2.25,-16.950196
2011-03-21,2368.399902,2380.449951,2344.149902,2351.25,2351.25,0,5.25,-11.899902
2011-03-22,2358.649902,2382.149902,2358.649902,2372.850098,2372.850098,0,7.399902,21.600098
2011-03-23,2371.25,2397.699951,2368.800049,2396.100098,2396.100098,0,-1.600098,23.25
2011-03-24,2400.100098,2421.449951,2400.100098,2413.25,2413.25,0,4,17.149902
2011-03-25,2422.350098,2447.300049,2422.350098,2443.600098,2443.600098,0,9.100098,30.350098
2011-03-28,2446.350098,2463.100098,2443.949951,2456.550049,2456.550049,0,2.75,12.949951
2011-03-29,2458.449951,2473.800049,2455.350098,2461.449951,2461.449951,0,1.899902,4.899902
2011-03-30,2474.199951,2518.199951,2474.199951,2509.149902,2509.149902,0,12.75,47.699951
2011-03-31,2512.5,2527.449951,2480.050049,2505.25,2505.25,0,3.350098,-3.899902
2011-04-01,2512.699951,2539.699951,2499.600098,2536.800049,2536.800049,0,7.449951,31.550049
2011-04-04,2539.399902,2580.300049,2539.399902,2573.75,2573.75,0,2.599853,36.949951
2011-04-05,2586.75,2614.600098,2565.550049,2610.550049,2610.550049,0,13,36.800049
2011-04-06,2615.850098,2640.949951,2607.199951,2624.850098,2624.850098,0,5.300049,14.300049
2011-04-07,2630.449951,2654.300049,2625.350098,2642.850098,2642.850098,0,5.599853,18
2011-04-08,2649.649902,2657.100098,2581.399902,2592.600098,2592.600098,0,6.799804,-50.25
2011-04-11,2589.399902,2589.399902,2555.449951,2559.399902,2559.399902,0,-3.200196,-33.200196
2011-04-13,2559.399902,2597.550049,2539.649902,2595.100098,2595.100098,0,0,35.700196
2011-04-15,2595.100098,2599.649902,2572.75,2582.399902,2582.399902,0,0,-12.700196
2011-04-18,2583.699951,2611.600098,2541.550049,2546.199951,2546.199951,0,1.300049,-36.199951
2011-04-19,2543.949951,2555.550049,2530.899902,2551.5,2551.5,0,-2.25,5.300049
2011-04-20,2561.350098,2589.649902,2561.350098,2587.649902,2587.649902,0,9.850098,36.149902
2011-04-21,2587.300049,2614.399902,2587.300049,2590.800049,2590.800049,0,-0.349853,3.150147
